variable,discrete,subset
Year_of_sampling,1,Environment
Month_of_sampling,0,Environment
Season_of_sampling,1,Environment
Gender,1,Demography
Age,0,Demography
Age_class,1,Demography
Education,1,Demography
Center,1,Environment
Height,0,Demography
Weight,0,Demography
BMI,0,Demography
Weight_class,1,Demography
Marital_status,1,Demography
Residence_status_in_the_past_1_year,1,Demography
Past_vocation,1,Demography
Nutritional_status,0,Elderly_Health
Activities_of_daily_living,0,Elderly_Health
Instrumental_activities_of_daily_living,0,Elderly_Health
Mini_mental_state_examination,0,Elderly_Health
Generalized_anxiety_disorder_questionnaire,0,Elderly_Health
Geriatric_depression_scale,0,Elderly_Health
Social_development_adaptation_scale,0,Elderly_Health
Lubben_social_network_scale,0,Elderly_Health
Nutritional_status_class,1,Elderly_Health
Sleeping_status_class,1,Elderly_Health
Vision_class,1,Elderly_Health
Audiometry_class,1,Elderly_Health
Dietary_intake_class,1,Elderly_Health
Activities_of_daily_living_class,1,Elderly_Health
Health_risk_factor_class,1,Elderly_Health
Chronic_disease_class,1,Elderly_Health
Physical_health_scores,0,Elderly_Health
Physical_health_class,1,Elderly_Health
Mini_mental_state_examination_class,1,Elderly_Health
Generalized_anxiety_disorder_class,1,Elderly_Health
Geriatric_depression_class,1,Elderly_Health
Life_satisfaction_class,1,Elderly_Health
Moderate_exercise_class,1,Elderly_Health
No_smoking_and_limited_alcohol_class,1,Elderly_Health
Mental_health_scores,0,Elderly_Health
Mental_health_class,1,Elderly_Health
Social_participation,1,Elderly_Health
Social_development_adaptation_class,1,Elderly_Health
Lubben_social_network_class,1,Elderly_Health
Social_health_scores,0,Elderly_Health
Social_health_class,1,Elderly_Health
Elderly_health_scores,0,Elderly_Health
Elderly_health_class,1,Elderly_Health
Oral_visit_past_year,1,Oral_Hygiene
Dentures_wearing,1,Oral_Hygiene
Daily_brushing_frequency_class,1,Oral_Hygiene
Post_meal_gargling_frequency_class,1,Oral_Hygiene
Toothbrush_replacement_frequency_class,1,Oral_Hygiene
Oral_health_assessment,0,Oral_Hygiene
Oral_health_assessment_class,1,Oral_Hygiene
Meal_frequency,1,Lifestyle
Drinking,1,Lifestyle
Drinking_frequency,1,Lifestyle
Vegetables_for_every_meal,1,Lifestyle
Fruits_intake,1,Lifestyle
Fruits_intake_frequency,1,Lifestyle
Dairy_and_legumes_intake,1,Lifestyle
Dairy_and_legumes_intake_frequency,1,Lifestyle
Aerobic_exercise_past_year,1,Lifestyle
Aerobic_exercise_frequency_past_year,1,Lifestyle
Muscle_strengthening_exercise_past_year,1,Lifestyle
Muscle_strengthening_exercise_frequency_past_year,1,Lifestyle
Balance_training_past_year,1,Lifestyle
Balance_training_frequency_past_year,1,Lifestyle
Brain_training_past_year,1,Lifestyle
Brain_training_frequency_past_year,1,Lifestyle
Walk_past_week,1,Lifestyle
Walk_frequency_past_week,1,Lifestyle
Moderate_exercise_past_week,1,Lifestyle
Moderate_exercise_frequency_past_week,1,Lifestyle
Strenuous_exercise_past_week,1,Lifestyle
Strenuous_exercise_frequency_past_week,1,Lifestyle
Long_sedentary_time_per_day,1,Lifestyle
Past_smoker,1,Lifestyle
Cigarettes_smoked_per_day,1,Lifestyle
Current_smoker,1,Lifestyle
Smoking_year,0,Lifestyle
Smoking_year_class,1,Lifestyle
Passive_smoker,1,Lifestyle
Hospitalizations_in_the_last_5_years,1,Diseases
Number_of_hospitalizations_in_the_last_5_years,0,Diseases
Hospitalizations_frequency_in_the_last_5_years,1,Diseases
History_of_interventional_examination_past_year,1,Diseases
Gastroscope_past_year,1,Diseases
Enteroscope_past_year,1,Diseases
History_of_general_anesthesia_past_year,1,Diseases
URTI_past_year,1,Diseases
Number_of_URTI_past_year,0,Diseases
Number_of_URTI_past_year_class,1,Diseases
History_of_pneumonia,1,Diseases
Previous_pneumonia_cases,0,Diseases
Previous_pneumonia_cases_class,1,Diseases
History_of_tonsillectomy,1,Diseases
Regular_oxygen_therapy_past_year,1,Diseases
Oxygen_therapy_frequency_class,1,Diseases
Oxygen_therapy_minitues_every_time,0,Diseases
Oxygen_therapy_minitues_every_time_class,1,Diseases
Oxygen_flow_rate_every_time,0,Diseases
Oxygen_flow_rate_every_time_class,1,Diseases
Cough,1,Symptom
Expectoration,1,Symptom
Chest_tightness_shortness_of_breath,1,Symptom
Influenza_vaccinations,1,Vaccines
Pneumococcal_vaccinations,1,Vaccines
COVID19_vaccination,1,Vaccines
Doses_of_COVID19_vaccines,0,Vaccines
Doses_of_COVID19_vaccines_class,1,Vaccines
COVID19_vaccinations_and_sampling_interval_months,0,Vaccines
COVID19_vaccinations_and_sampling_interval_months_class,1,Vaccines
Cardiovascular_diseases,1,Diseases
Chronic_heart_failure,1,Diseases
Arrhythmia,1,Diseases
Valvulopathy,1,Diseases
Hypertension,1,Diseases
Coronary_artery_disease,1,Diseases
Chronic_atrial_fibrillation,1,Diseases
Type_2_Diabetes,1,Diseases
Thyroid_diseases,1,Diseases
Allergic_rhinitis,1,Diseases
Chronic_respiratory_diseases,1,Diseases
Bronchiectasis,1,Diseases
Bronchial_asthma,1,Diseases
Chronic_obstructive_pulmonary_disease,1,Diseases
Interstitial_lung_disease,1,Diseases
Obstructive_sleep_apnea_syndrome,1,Diseases
Inactive_tuberculosis,1,Diseases
Peptic_ulcer,1,Diseases
Gastroesophageal_reflux,1,Diseases
Viral_hepatitis,1,Diseases
Dementia_or_Alzheimers_disease,1,Diseases
Parkinsons_disease,1,Diseases
Stroke,1,Diseases
Lung_cancer,1,Diseases
Gastrointestinal_cancer,1,Diseases
Breast_cancer,1,Diseases
Hyperuricemia_or_gout,1,Diseases
Hyperlipemia,1,Diseases
Osteoporosis,1,Diseases
Painful_peripheral_neuropathy,1,Diseases
History_of_regular_drug_use_in_the_past_1_year,1,Medicine
Non_steroidal_anti_inflammatory_drugs,1,Medicine
Expectorant,1,Medicine
Theophylline_drugs,1,Medicine
Bronchodilators_and_inhaled_glucocorticoids,1,Medicine
Anticholinergic_drugs,1,Medicine
Diuretic,1,Medicine
Angiotensin_receptor_inhibitor,1,Medicine
Beta_recptor_blocker,1,Medicine
Calcium_antagonists,1,Medicine
Nitrates,1,Medicine
Statins,1,Medicine
Antiplatelet_drugs,1,Medicine
Oral_anticoagulant,1,Medicine
Oral_glucocorticoids,1,Medicine
Insulin_subcutaneous_injection,1,Medicine
Oral_hypoglycemic_drugs,1,Medicine
Anti_osteoporotic,1,Medicine
Probiotics,1,Medicine
Vitmin,1,Medicine
Coenzyme_Q10,1,Medicine
Sedative_hypnotic,1,Medicine
Antibiotics,1,Medicine
Cephalosporins,1,Medicine
Quinolones,1,Medicine
Macrolides,1,Medicine
Antiviral_drugs,1,Medicine
White_blood_cell,0,Clinical_Indices
White_blood_cell_class,1,Clinical_Indices
Neutrophil,0,Clinical_Indices
Neutrophil_class,1,Clinical_Indices
Lymphocyte,0,Clinical_Indices
Lymphocyte_class,1,Clinical_Indices
Neutrophil_to_lymphocyte_ratio,0,Clinical_Indices
Neutrophil_to_lymphocyte_ratio_class,1,Clinical_Indices
Monocyte,0,Clinical_Indices
Monocyte_class,1,Clinical_Indices
Eosinophil,0,Clinical_Indices
Eosinophil_class,1,Clinical_Indices
Basophil,0,Clinical_Indices
Red_blood_cell,0,Clinical_Indices
Red_blood_cell_class,1,Clinical_Indices
Hematocrit,0,Clinical_Indices
Hematocrit_class,1,Clinical_Indices
Hemoglobin,0,Clinical_Indices
Hemoglobin_class,1,Clinical_Indices
Platelet,0,Clinical_Indices
Platelet_class,1,Clinical_Indices
Alanine_aminotransferase,0,Clinical_Indices
Alanine_aminotransferase_class,1,Clinical_Indices
Aspartate_aminotransferase,0,Clinical_Indices
Aspartate_aminotransferase_class,1,Clinical_Indices
Total_bilirubin,0,Clinical_Indices
Total_bilirubin_class,1,Clinical_Indices
Direct_bilirubin,0,Clinical_Indices
Direct_bilirubin_class,1,Clinical_Indices
Indirect_bilirubin,0,Clinical_Indices
Indirect_bilirubin_class,1,Clinical_Indices
Albumin,0,Clinical_Indices
Albumin_class,1,Clinical_Indices
Triglycerides,0,Clinical_Indices
Triglycerides_class,1,Clinical_Indices
Cholesterol,0,Clinical_Indices
Cholesterol_class,1,Clinical_Indices
Low_density_lipoprotein_cholesterol,0,Clinical_Indices
Low_density_lipoprotein_cholesterol_class,1,Clinical_Indices
High_density_lipoprotein_cholesterol,0,Clinical_Indices
High_density_lipoprotein_cholesterol_class,1,Clinical_Indices
Urea,0,Clinical_Indices
Urea_class,1,Clinical_Indices
Creatinine,0,Clinical_Indices
Creatinine_class,1,Clinical_Indices
Uric_acid,0,Clinical_Indices
Uric_acid_class,1,Clinical_Indices
Estimated_glomerular_filtration_rate,0,Clinical_Indices
Glucose,0,Clinical_Indices
Glucose_class,1,Clinical_Indices
FEV1_pred,0,Clinical_Indices
FEV1,0,Clinical_Indices
FEV1_percent,0,Clinical_Indices
FEV1_percent_class,1,Clinical_Indices
FVC_pred,0,Clinical_Indices
FVC,0,Clinical_Indices
FVC_percent,0,Clinical_Indices
FVC_percent_class,1,Clinical_Indices
FEV1_FVC_ratio,0,Clinical_Indices
FEV1_FVC_ratio_class,1,Clinical_Indices
GOLD_rank,1,Clinical_Indices
Pulmonary_nodules_in_CT,1,Clinical_Indices
Artery_wall_calcification_in_CT,1,Clinical_Indices
Pulmonary_calcified_lesions_in_CT,1,Clinical_Indices
Pulmonary_parenchymal_band_in_CT,1,Clinical_Indices
Pulmonary_inflammatory_lesions_in_CT,1,Clinical_Indices
Degenerative_thoracic_vertebrae_in_CT,1,Clinical_Indices
Pulmonary_interstitial_lesions_in_CT,1,Clinical_Indices
Emphysema_in_CT,1,Clinical_Indices
Bronchitis_in_CT,1,Clinical_Indices
Bronchiectasis_in_CT,1,Clinical_Indices
Pleural_thickening_in_CT,1,Clinical_Indices
Pleural_effusion_in_CT,1,Clinical_Indices
Pulmonary_bulla_in_CT,1,Clinical_Indices
URTI_in_the_future,1,Respiratory_Tract_Infection
URTI_in_the_next_1_month,1,Respiratory_Tract_Infection
URTI_in_the_next_3_months,1,Respiratory_Tract_Infection
URTI_in_the_next_6_months,1,Respiratory_Tract_Infection
URTI_in_the_next_9_months,1,Respiratory_Tract_Infection
URTI_in_the_next_12_months,1,Respiratory_Tract_Infection
Number_of_URTI_in_the_future,0,Respiratory_Tract_Infection
Number_of_URTI_in_the_future_class,1,Respiratory_Tract_Infection
Number_of_URTI_in_the_next_year,0,Respiratory_Tract_Infection
Number_of_URTI_in_the_next_year_class,1,Respiratory_Tract_Infection
